Time;Natural ventilation, Roof, Zone 31 - Rm. 3-2, South Office, Heat Valve
05-31-2018 22:00:13;100
07-05-2018 20:56:02;100
07-05-2018 20:56:04;0
07-05-2018 21:05:02;100
07-05-2018 21:05:04;0
07-05-2018 21:42:02;100
07-05-2018 21:42:04;0
07-05-2018 21:56:02;100
07-05-2018 21:56:04;0
07-05-2018 22:56:02;100
07-05-2018 22:56:04;0
07-06-2018 00:08:02;100
07-06-2018 00:08:04;0
07-06-2018 00:47:02;100
07-06-2018 00:47:04;0
07-06-2018 01:39:02;100
07-06-2018 01:39:04;0
07-06-2018 01:54:02;100
07-06-2018 01:54:04;0
07-06-2018 02:02:02;100
07-06-2018 02:02:04;0
07-06-2018 02:25:02;100
07-06-2018 02:25:04;0
07-06-2018 02:41:02;100
07-06-2018 02:41:04;0
07-06-2018 02:42:02;100
07-06-2018 02:42:04;0
07-06-2018 02:54:02;100
07-06-2018 02:54:04;0
07-06-2018 03:06:02;100
07-06-2018 03:06:04;0
07-06-2018 03:14:02;100
07-06-2018 03:14:04;0
07-06-2018 03:28:02;100
07-06-2018 03:28:04;0
07-06-2018 03:37:02;100
07-06-2018 03:37:04;0
07-06-2018 03:59:02;100
07-06-2018 03:59:04;0
07-06-2018 04:00:02;100
07-06-2018 04:00:04;0
07-06-2018 04:07:02;100
07-06-2018 04:07:04;0
07-06-2018 04:42:02;100
07-06-2018 04:42:04;0
07-06-2018 04:44:02;100
07-06-2018 04:44:04;0
07-06-2018 04:46:02;100
07-06-2018 04:46:04;0
07-06-2018 05:14:02;100
07-06-2018 05:14:04;0
07-06-2018 05:32:02;100
07-06-2018 05:32:04;0
07-06-2018 05:32:04;100
07-06-2018 05:32:06;0
07-06-2018 05:41:02;100
07-06-2018 05:41:04;0
07-06-2018 05:45:02;100
07-06-2018 05:45:04;0
07-06-2018 05:52:02;100
07-06-2018 05:52:04;0
07-06-2018 06:49:02;100
07-06-2018 06:49:04;0
07-06-2018 07:14:02;100
07-06-2018 07:14:04;0
07-06-2018 07:18:02;100
07-06-2018 07:18:04;0
07-06-2018 07:22:02;100
07-06-2018 07:22:04;0
07-06-2018 09:08:36;100
07-06-2018 09:38:13;100
07-06-2018 09:44:17;100
07-06-2018 09:44:17;0
07-06-2018 09:44:18;100
07-10-2018 10:39:10;0
07-10-2018 10:44:22;100
07-12-2018 09:32:07;100
07-12-2018 10:14:22;100
08-02-2018 14:13:02;100
08-24-2018 05:03:04;100
08-27-2018 08:18:17;100
08-27-2018 09:57:40;100
08-27-2018 09:57:42;0
08-27-2018 09:57:44;100
08-28-2018 11:15:42;100
08-29-2018 08:45:15;100
08-30-2018 10:58:29;0
08-30-2018 10:59:03;100
08-30-2018 10:59:35;0
08-30-2018 11:00:03;100
08-30-2018 11:00:15;0
08-30-2018 11:01:03;100
08-30-2018 11:01:17;0
08-30-2018 11:02:03;100
08-30-2018 14:34:02;100
08-31-2018 23:02:02;0
08-31-2018 23:02:06;100
08-31-2018 23:07:02;0
08-31-2018 23:07:06;100
09-01-2018 00:23:02;0
09-01-2018 00:23:06;100
09-01-2018 00:25:04;0
09-01-2018 00:25:08;100
09-01-2018 01:28:02;0
09-01-2018 01:28:06;100
09-01-2018 01:32:02;0
09-01-2018 01:32:06;100
09-01-2018 03:35:02;0
09-01-2018 03:35:06;100
09-01-2018 06:54:02;0
09-01-2018 06:54:06;100
09-01-2018 07:05:02;0
09-01-2018 07:05:06;100
09-02-2018 05:00:04;0
09-02-2018 05:00:08;100
09-02-2018 06:56:08;60
09-02-2018 06:59:02;62
09-02-2018 07:01:02;63
09-02-2018 07:03:02;64
09-02-2018 07:05:02;65
09-02-2018 07:07:02;67
09-02-2018 07:09:02;68
09-02-2018 07:11:02;69
09-02-2018 07:13:02;70
09-02-2018 07:15:02;71
09-02-2018 07:17:02;73
09-02-2018 07:19:02;74
09-02-2018 07:21:02;75
09-02-2018 07:23:02;76
09-02-2018 07:25:02;77
09-02-2018 07:27:02;79
09-02-2018 07:29:02;80
09-02-2018 07:31:02;81
09-02-2018 07:33:02;82
09-02-2018 07:35:02;83
09-02-2018 07:37:02;85
09-02-2018 07:39:02;86
09-02-2018 07:41:02;87
09-02-2018 07:43:02;88
09-02-2018 07:45:02;89
09-02-2018 07:47:02;91
09-02-2018 07:49:02;92
09-02-2018 07:51:02;93
09-02-2018 07:53:02;94
09-02-2018 07:55:02;95
09-02-2018 07:57:02;97
09-02-2018 07:59:02;98
09-02-2018 08:01:02;99
09-02-2018 08:03:02;100
09-05-2018 03:24:38;100
09-05-2018 03:24:39;0
09-05-2018 03:24:40;100
09-07-2018 03:14:29;100
09-07-2018 03:14:37;0
09-07-2018 03:14:38;100
09-07-2018 03:14:38;0
09-07-2018 03:14:39;100
09-07-2018 04:09:27;100
09-10-2018 03:01:50;100
09-10-2018 03:21:55;100
09-10-2018 03:40:11;100
09-11-2018 07:52:02;99
09-11-2018 07:56:02;100
09-11-2018 08:00:02;98
09-11-2018 08:04:02;99
09-11-2018 08:10:00;98
09-11-2018 08:14:02;99
09-11-2018 08:18:02;98
09-11-2018 08:20:02;99
09-11-2018 08:22:02;97
09-11-2018 08:24:02;98
09-11-2018 08:26:02;97
09-11-2018 08:28:02;98
09-11-2018 08:30:02;97
09-11-2018 08:36:02;96
09-11-2018 08:40:02;97
09-11-2018 08:42:02;96
09-11-2018 08:48:02;95
09-11-2018 08:58:02;94
09-11-2018 09:08:02;93
09-11-2018 09:18:02;92
09-11-2018 09:28:02;91
09-11-2018 09:38:02;90
09-11-2018 09:48:02;89
09-11-2018 09:58:02;88
09-11-2018 10:00:02;87
09-11-2018 10:08:02;86
09-11-2018 10:10:02;87
09-11-2018 10:12:02;85
09-11-2018 10:14:02;86
09-11-2018 10:18:02;84
09-11-2018 10:24:02;83
09-11-2018 10:28:02;82
09-11-2018 10:34:02;81
09-11-2018 10:38:02;80
09-11-2018 10:44:02;79
09-11-2018 10:48:02;78
09-11-2018 10:54:02;77
09-11-2018 10:58:02;76
09-11-2018 11:04:02;75
09-11-2018 11:08:02;74
09-11-2018 11:14:02;73
09-11-2018 11:16:02;72
09-11-2018 11:22:02;70
09-11-2018 11:26:02;69
09-11-2018 11:28:02;68
09-11-2018 11:32:02;67
09-11-2018 11:36:02;66
09-11-2018 11:38:02;65
09-11-2018 11:42:02;64
09-11-2018 11:46:02;63
09-11-2018 11:48:02;62
09-11-2018 11:52:02;60
09-11-2018 11:56:02;59
09-11-2018 11:58:02;58
09-11-2018 12:00:02;57
09-11-2018 12:02:02;56
09-11-2018 12:04:02;55
09-11-2018 12:08:02;54
09-11-2018 12:10:02;53
09-11-2018 12:12:02;52
09-11-2018 12:14:02;51
09-11-2018 12:16:02;49
09-11-2018 12:18:02;48
09-11-2018 12:20:02;47
09-11-2018 12:22:02;46
09-11-2018 12:24:02;45
09-11-2018 12:26:02;44
09-11-2018 12:28:02;43
09-11-2018 12:30:02;42
09-11-2018 12:32:02;41
09-11-2018 12:34:02;40
09-11-2018 12:36:02;39
09-11-2018 12:38:02;38
09-11-2018 12:40:02;37
09-11-2018 12:42:02;36
09-11-2018 12:44:02;35
09-11-2018 12:46:02;34
09-11-2018 12:48:02;33
09-11-2018 12:50:02;31
09-11-2018 12:53:02;30
09-11-2018 12:55:02;28
09-11-2018 12:57:02;27
09-11-2018 12:59:02;26
09-11-2018 13:01:02;25
09-11-2018 13:03:02;24
09-11-2018 13:05:02;22
09-11-2018 13:07:02;21
09-11-2018 13:09:02;20
09-11-2018 13:11:02;19
09-11-2018 13:13:02;18
09-11-2018 13:15:02;16
09-11-2018 13:17:02;15
09-11-2018 13:18:24;14
09-11-2018 13:19:02;13
09-11-2018 13:20:02;12
09-11-2018 13:21:02;11
09-11-2018 13:22:24;12
09-11-2018 13:23:02;11
09-11-2018 13:25:02;10
09-11-2018 13:26:02;9
09-11-2018 13:26:24;8
09-11-2018 13:28:02;7
09-11-2018 13:29:02;6
09-11-2018 13:31:02;5
09-11-2018 13:32:02;4
09-11-2018 13:33:02;3
09-11-2018 13:35:02;2
09-11-2018 13:36:02;1
09-11-2018 13:38:02;0
09-11-2018 15:06:14;10
09-11-2018 15:11:02;11
09-11-2018 15:18:12;21
09-11-2018 15:21:02;22
09-11-2018 15:25:02;23
09-11-2018 15:31:02;24
09-11-2018 15:35:02;25
09-11-2018 15:37:02;35
09-11-2018 15:39:02;36
09-11-2018 15:43:02;37
09-11-2018 15:47:02;38
09-11-2018 15:49:00;39
09-11-2018 15:50:10;49
09-11-2018 15:53:02;50
09-11-2018 15:55:02;51
09-11-2018 15:57:02;52
09-11-2018 15:59:02;53
09-11-2018 16:03:02;54
09-11-2018 16:05:02;55
09-11-2018 16:06:08;65
09-11-2018 16:09:02;67
09-11-2018 16:11:02;68
09-11-2018 16:13:02;69
09-11-2018 16:15:02;70
09-11-2018 16:17:02;71
09-11-2018 16:19:02;72
09-11-2018 16:20:06;82
09-11-2018 16:22:06;74
09-11-2018 16:24:06;85
09-11-2018 16:27:02;86
09-11-2018 16:29:02;88
09-11-2018 16:31:02;89
09-11-2018 16:33:02;90
09-11-2018 16:35:02;91
09-11-2018 16:37:02;92
09-11-2018 16:38:04;100
09-11-2018 16:42:04;96
09-11-2018 16:44:04;100
09-12-2018 12:08:34;0
09-12-2018 12:08:40;100
09-12-2018 23:08:32;0
09-12-2018 23:08:38;100
09-16-2018 13:08:18;0
09-16-2018 13:08:24;100
09-18-2018 18:08:10;0
09-18-2018 18:08:14;100
09-19-2018 16:08:10;0
09-19-2018 20:08:10;100
09-22-2018 15:56:02;99
09-22-2018 16:00:02;100
09-22-2018 16:04:02;99
09-22-2018 16:06:02;98
09-22-2018 16:14:02;97
09-22-2018 16:18:02;98
09-22-2018 16:24:02;97
09-22-2018 16:28:02;98
09-22-2018 16:30:02;97
09-22-2018 16:34:02;96
09-22-2018 16:38:02;97
09-22-2018 16:44:02;96
09-22-2018 17:06:02;95
09-22-2018 17:08:02;96
09-22-2018 17:18:02;95
09-22-2018 17:24:02;96
09-22-2018 17:28:02;95
09-22-2018 17:44:02;94
09-22-2018 17:56:02;93
09-22-2018 18:10:02;92
09-22-2018 18:14:02;93
09-22-2018 18:20:02;92
09-22-2018 18:24:02;93
09-22-2018 18:30:02;92
